GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Entando K8S Controller for Keycloak,org.entando.kubernetes.controller.keycloakserver,KeycloakDeploymentResult,0,45,0,0,0,9,0,3,0,3
Entando K8S Controller for Keycloak,org.entando.kubernetes.controller.keycloakserver,EntandoKeycloakHelper,7,131,4,10,2,19,4,11,0,8
Entando K8S Controller for Keycloak,org.entando.kubernetes.controller.keycloakserver,KeycloakDeployable,0,152,0,8,0,27,0,20,0,16
Entando K8S Controller for Keycloak,org.entando.kubernetes.controller.keycloakserver,KeycloakDeployableContainer,8,477,0,14,0,81,1,35,1,28
Entando K8S Controller for Keycloak,org.entando.kubernetes.controller.keycloakserver,EntandoKeycloakServerController,18,889,5,27,0,165,8,34,3,23
Entando K8S Controller for Keycloak,org.entando.kubernetes.controller.keycloakserver,ExternalKeycloakService,0,48,0,2,0,12,0,7,0,6
